,date,time,team1,odds1,team2,odds2,league
0,2023-04-02,18:20,paiN Gaming,1.90,LOUD,1.97,CBLOL
1,2023-04-01,18:20,RED Canids,2.20,FURIA Esports,1.80,CBLOL
2,2023-03-26,18:20,LOUD,1.64,Los Grandes,2.63,CBLOL
3,2023-03-25,18:00,paiN Gaming,1.51,RED Canids,2.95,CBLOL
4,2023-03-24,18:20,Fluxo,1.88,FURIA Esports,2.15,CBLOL
5,2023-03-19,22:00,Los Grandes,1.47,FURIA Esports,3.25,CBLOL
6,2023-03-19,21:00,Fluxo,1.85,RED Canids,2.00,CBLOL
7,2023-03-19,20:00,Vivo Keyd,1.98,INTZ-eSports,1.87,CBLOL
8,2023-03-19,19:00,LOUD,1.30,Liberty,4.10,CBLOL
9,2023-03-19,18:00,paiN Gaming,1.40,KaBuM! e-Sports,3.10,CBLOL
10,2023-03-18,22:00,RED Canids,1.72,FURIA Esports,2.29,CBLOL
11,2023-03-18,21:20,KaBuM! e-Sports,1.78,Vivo Keyd,2.20,CBLOL
12,2023-03-18,20:00,INTZ-eSports,3.37,Fluxo,1.39,CBLOL
13,2023-03-18,19:00,paiN Gaming,1.27,Liberty,4.00,CBLOL
14,2023-03-18,18:20,LOUD,2.20,Los Grandes,1.71,CBLOL
15,2023-03-12,22:00,Vivo Keyd,2.75,Fluxo,1.48,CBLOL
16,2023-03-12,21:00,INTZ-eSports,3.76,LOUD,1.35,CBLOL
17,2023-03-12,20:00,Liberty,2.80,RED Canids,1.53,CBLOL
18,2023-03-12,19:00,FURIA Esports,2.25,paiN Gaming,1.64,CBLOL
19,2023-03-12,18:00,KaBuM! e-Sports,3.50,Los Grandes,1.34,CBLOL
20,2023-03-11,22:20,paiN Gaming,1.44,INTZ-eSports,3.02,CBLOL
21,2023-03-11,21:00,Los Grandes,1.26,Liberty,4.86,CBLOL
22,2023-03-11,20:00,RED Canids,1.76,KaBuM! e-Sports,2.30,CBLOL
23,2023-03-11,19:00,Fluxo,1.50,FURIA Esports,2.80,CBLOL
24,2023-03-11,18:00,LOUD,1.47,Vivo Keyd,2.94,CBLOL
25,2023-03-05,22:00,Fluxo,1.62,paiN Gaming,2.41,CBLOL
26,2023-03-05,21:00,Liberty,2.38,Vivo Keyd,1.65,CBLOL
27,2023-03-05,20:00,Los Grandes,1.26,INTZ-eSports,4.02,CBLOL
28,2023-03-05,19:00,LOUD,1.79,RED Canids,2.21,CBLOL
29,2023-03-05,18:00,FURIA Esports,1.71,KaBuM! e-Sports,2.70,CBLOL
30,2023-03-04,22:10,KaBuM! e-Sports,2.75,Fluxo,1.47,CBLOL
31,2023-03-04,22:00,paiN Gaming,2.43,Los Grandes,1.60,CBLOL
32,2023-03-04,20:55,FURIA Esports,2.38,LOUD,1.74,CBLOL
33,2023-03-04,19:30,Vivo Keyd,2.65,RED Canids,1.57,CBLOL
34,2023-03-04,18:00,INTZ-eSports,1.91,Liberty,2.00,CBLOL
35,2023-02-26,22:00,KaBuM! e-Sports,1.50,INTZ-eSports,2.80,CBLOL
36,2023-02-26,21:00,Los Grandes,1.18,Vivo Keyd,6.65,CBLOL
37,2023-02-26,20:00,RED Canids,2.16,paiN Gaming,1.78,CBLOL
38,2023-02-26,19:00,Liberty,2.10,FURIA Esports,1.95,CBLOL
39,2023-02-26,18:15,Fluxo,1.75,LOUD,2.23,CBLOL
40,2023-02-25,22:00,INTZ-eSports,2.34,FURIA Esports,1.64,CBLOL
41,2023-02-25,21:00,Liberty,2.75,Fluxo,1.51,CBLOL
42,2023-02-25,20:00,RED Canids,3.25,Los Grandes,1.37,CBLOL
43,2023-02-25,19:00,LOUD,1.65,KaBuM! e-Sports,2.38,CBLOL
44,2023-02-25,18:00,Vivo Keyd,3.18,paiN Gaming,1.54,CBLOL
45,2023-02-19,22:00,KaBuM! e-Sports,1.52,Liberty,2.75,CBLOL
46,2023-02-19,21:00,paiN Gaming,2.26,LOUD,1.70,CBLOL
47,2023-02-19,20:00,FURIA Esports,1.67,Vivo Keyd,2.50,CBLOL
48,2023-02-19,19:00,Fluxo,2.95,Los Grandes,1.45,CBLOL
