,date,time,team1,odds1,team2,odds2,league
0,2023-03-27,23:00,MAD Lions,1.85,Heretics,2.15,LEC
1,2023-03-27,22:00,Vitality,1.65,KOI,2.38,LEC
2,2023-03-27,21:00,MAD Lions,3.10,G2 Esports,1.49,LEC
3,2023-03-27,20:00,SK Gaming,1.58,Heretics,2.53,LEC
4,2023-03-27,19:00,Fnatic,1.91,Astralis,2.00,LEC
5,2023-03-27,18:00,Team BDS,1.52,Excel Esports,3.04,LEC
6,2023-03-26,22:00,Fnatic,3.80,G2 Esports,1.41,LEC
7,2023-03-26,20:55,Vitality,1.40,Heretics,3.60,LEC
8,2023-03-26,20:00,Team BDS,2.25,KOI,1.99,LEC
9,2023-03-26,18:50,SK Gaming,1.95,MAD Lions,2.22,LEC
10,2023-03-26,18:00,Astralis,1.67,Excel Esports,2.36,LEC
11,2023-03-25,23:00,SK Gaming,3.04,G2 Esports,1.46,LEC
12,2023-03-25,22:00,Fnatic,2.68,MAD Lions,1.57,LEC
13,2023-03-25,21:00,Vitality,1.44,Team BDS,3.05,LEC
14,2023-03-25,20:00,KOI,1.46,Excel Esports,3.30,LEC
15,2023-03-25,19:00,Heretics,2.06,Astralis,1.91,LEC
16,2023-03-20,23:00,Fnatic,3.42,KOI,1.41,LEC
17,2023-03-20,22:00,Team BDS,3.60,G2 Esports,1.34,LEC
18,2023-03-20,21:10,Astralis,4.00,Vitality,1.31,LEC
19,2023-03-20,20:00,MAD Lions,1.43,Heretics,3.20,LEC
20,2023-03-20,19:00,Excel Esports,3.10,SK Gaming,1.52,LEC
21,2023-03-19,23:00,G2 Esports,2.08,Vitality,2.00,LEC
22,2023-03-19,22:00,SK Gaming,1.88,KOI,2.15,LEC
23,2023-03-19,21:00,Heretics,1.70,Fnatic,2.35,LEC
24,2023-03-19,20:00,Excel Esports,3.71,MAD Lions,1.31,LEC
25,2023-03-19,19:00,Team BDS,1.78,Astralis,2.10,LEC
26,2023-03-18,23:00,KOI,3.30,G2 Esports,1.39,LEC
27,2023-03-18,22:00,Vitality,1.56,SK Gaming,2.51,LEC
28,2023-03-18,21:00,Fnatic,3.04,Team BDS,1.50,LEC
29,2023-03-18,20:00,Heretics,1.98,Excel Esports,2.06,LEC
30,2023-03-18,19:00,Astralis,2.70,MAD Lions,1.59,LEC
31,2023-03-13,23:00,Fnatic,4.20,Vitality,1.32,LEC
32,2023-03-13,22:00,G2 Esports,1.25,Excel Esports,5.00,LEC
33,2023-03-13,21:00,MAD Lions,2.15,KOI,2.05,LEC
34,2023-03-13,20:00,Heretics,2.25,Team BDS,1.78,LEC
35,2023-03-13,19:00,SK Gaming,1.79,Astralis,2.30,LEC
36,2023-03-12,23:00,KOI,1.50,Heretics,3.01,LEC
37,2023-03-12,22:00,Astralis,5.57,G2 Esports,1.23,LEC
38,2023-03-12,21:00,SK Gaming,1.66,Fnatic,2.96,LEC
39,2023-03-12,20:00,Excel Esports,3.60,Vitality,1.40,LEC
40,2023-03-12,19:00,Team BDS,3.04,MAD Lions,1.47,LEC
41,2023-03-11,23:00,Heretics,4.80,G2 Esports,1.25,LEC
42,2023-03-11,22:00,Astralis,3.98,KOI,1.40,LEC
43,2023-03-11,21:00,Vitality,1.95,MAD Lions,2.05,LEC
44,2023-03-11,20:00,SK Gaming,1.90,Team BDS,2.05,LEC
45,2023-03-11,19:00,Fnatic,1.75,Excel Esports,2.31,LEC
46,2023-02-26,19:00,G2 Esports,1.34,MAD Lions,3.88,LEC
47,2023-02-25,19:00,KOI,1.80,MAD Lions,2.27,LEC
48,2023-02-24,19:00,MAD Lions,1.59,SK Gaming,2.75,LEC
