,date,time,team1,odds1,team2,odds2,league
0,2023-04-01,19:40,FUT Esports,2.40,Istanbul WildCats,1.70,TCL
1,2023-03-30,19:30,Istanbul WildCats,1.60,SuperMassive,2.70,TCL
2,2023-03-28,19:30,Besiktas e-Sports,4.33,SuperMassive,1.30,TCL
3,2023-03-24,19:40,Istanbul WildCats,1.65,FUT Esports,2.61,TCL
4,2023-03-23,19:30,SuperMassive,1.70,NASR,2.50,TCL
5,2023-03-22,19:30,Dark Passage,1.64,Besiktas e-Sports,2.70,TCL
6,2023-03-17,21:00,Istanbul WildCats,1.60,SuperMassive,2.75,TCL
7,2023-03-17,20:00,Besiktas e-Sports,2.38,FUT Esports,1.57,TCL
8,2023-03-17,19:00,5 Ronin,5.50,NASR,1.24,TCL
9,2023-03-17,18:00,Dark Passage,1.49,Galakticos,2.79,TCL
10,2023-03-16,21:00,Dark Passage,1.90,NASR,2.10,TCL
11,2023-03-16,20:00,5 Ronin,7.00,SuperMassive,1.13,TCL
12,2023-03-16,19:00,Galakticos,3.80,FUT Esports,1.35,TCL
13,2023-03-16,18:00,Istanbul WildCats,1.41,Besiktas e-Sports,3.20,TCL
14,2023-03-10,21:00,Dark Passage,2.51,SuperMassive,1.62,TCL
15,2023-03-10,20:00,5 Ronin,7.54,Istanbul WildCats,1.09,TCL
16,2023-03-10,19:00,Galakticos,2.31,Besiktas e-Sports,1.67,TCL
17,2023-03-10,18:05,FUT Esports,1.42,NASR,3.01,TCL
18,2023-03-09,20:50,Besiktas e-Sports,1.79,NASR,2.40,TCL
19,2023-03-09,19:50,Istanbul WildCats,1.38,Galakticos,3.08,TCL
20,2023-03-09,18:55,Dark Passage,1.25,5 Ronin,6.00,TCL
21,2023-03-09,18:00,FUT Esports,2.13,SuperMassive,2.07,TCL
22,2023-03-05,21:00,Dark Passage,2.88,Istanbul WildCats,1.46,TCL
23,2023-03-05,20:00,FUT Esports,1.14,5 Ronin,6.45,TCL
24,2023-03-05,19:00,Galakticos,1.78,NASR,2.40,TCL
25,2023-03-05,18:00,Besiktas e-Sports,3.97,SuperMassive,1.36,TCL
26,2023-03-04,21:00,Dark Passage,2.79,FUT Esports,1.55,TCL
27,2023-03-04,20:00,Galakticos,3.80,SuperMassive,1.34,TCL
28,2023-03-04,19:00,Istanbul WildCats,1.33,NASR,3.90,TCL
29,2023-03-04,18:00,5 Ronin,4.32,Besiktas e-Sports,1.33,TCL
30,2023-03-03,21:00,Istanbul WildCats,1.88,FUT Esports,2.05,TCL
31,2023-03-03,20:00,Dark Passage,1.80,Besiktas e-Sports,2.24,TCL
32,2023-03-03,19:00,NASR,3.75,SuperMassive,1.33,TCL
33,2023-03-03,18:00,5 Ronin,3.38,Galakticos,1.36,TCL
34,2023-03-02,21:35,Besiktas e-Sports,3.12,FUT Esports,1.35,TCL
35,2023-03-02,20:15,Dark Passage,1.60,Galakticos,2.38,TCL
36,2023-03-02,19:05,Istanbul WildCats,2.50,SuperMassive,1.63,TCL
37,2023-03-02,18:05,5 Ronin,3.50,NASR,1.36,TCL
38,2023-02-23,21:20,5 Ronin,10.10,SuperMassive,1.06,TCL
39,2023-02-23,20:00,Galakticos,3.39,FUT Esports,1.33,TCL
40,2023-02-23,19:00,Istanbul WildCats,1.40,Besiktas e-Sports,3.05,TCL
41,2023-02-23,18:00,Dark Passage,2.06,NASR,1.85,TCL
42,2023-02-22,21:00,FUT Esports,1.34,NASR,3.80,TCL
43,2023-02-22,20:30,Dark Passage,3.50,SuperMassive,1.30,TCL
44,2023-02-22,19:00,5 Ronin,6.45,Istanbul WildCats,1.18,TCL
45,2023-02-22,18:00,Galakticos,1.75,Besiktas e-Sports,2.42,TCL
46,2023-02-03,21:10,Galakticos,2.40,Istanbul WildCats,1.74,TCL
47,2023-02-03,20:10,NASR,1.72,Besiktas e-Sports,2.20,TCL
48,2023-02-03,19:10,FUT Esports,3.15,SuperMassive,1.39,TCL
