Name,Win %,patch
AatroxAatrox,56.35%,13.06
AhriAhri,53.24%,13.06
AkaliAkali,46.37%,13.06
AkaliAkali,42.86%,13.06
AkshanAkshan,57.14%,13.06
AkshanAkshan,45.83%,13.06
AlistarAlistar,52.17%,13.06
AmumuAmumu,68.42%,13.06
AmumuAmumu,53.06%,13.06
AniviaAnivia,48.31%,13.06
AnnieAnnie,54.90%,13.06
AnnieAnnie,51.80%,13.06
ApheliosAphelios,54.27%,13.06
AsheAshe,56.79%,13.06
AsheAshe,46.43%,13.06
Aurelion SolAurelion Sol,48.26%,13.06
AzirAzir,34.21%,13.06
BardBard,51.38%,13.06
Bel'VethBel'Veth,56.52%,13.06
BlitzcrankBlitzcrank,55.09%,13.06
BrandBrand,55.42%,13.06
BraumBraum,50.00%,13.06
CaitlynCaitlyn,49.85%,13.06
CamilleCamille,50.46%,13.06
CassiopeiaCassiopeia,59.51%,13.06
CassiopeiaCassiopeia,70.83%,13.06
Cho'GathCho'Gath,56.74%,13.06
Cho'GathCho'Gath,56.82%,13.06
Cho'GathCho'Gath,46.67%,13.06
CorkiCorki,50.00%,13.06
DariusDarius,50.66%,13.06
DianaDiana,53.22%,13.06
DianaDiana,45.10%,13.06
Dr. MundoDr. Mundo,56.25%,13.06
Dr. MundoDr. Mundo,43.24%,13.06
DravenDraven,47.54%,13.06
EkkoEkko,53.79%,13.06
EkkoEkko,45.00%,13.06
EliseElise,70.00%,13.06
EliseElise,54.25%,13.06
EvelynnEvelynn,49.60%,13.06
EzrealEzreal,51.84%,13.06
FiddlesticksFiddlesticks,60.00%,13.06
FioraFiora,51.48%,13.06
FizzFizz,50.83%,13.06
GalioGalio,69.57%,13.06
GalioGalio,52.14%,13.06
GangplankGangplank,47.85%,13.06
GangplankGangplank,33.33%,13.06
GarenGaren,55.22%,13.06
GnarGnar,47.18%,13.06
GragasGragas,52.31%,13.06
GragasGragas,55.81%,13.06
GragasGragas,50.47%,13.06
GravesGraves,50.53%,13.06
GwenGwen,55.17%,13.06
HecarimHecarim,50.68%,13.06
HeimerdingerHeimerdinger,55.56%,13.06
HeimerdingerHeimerdinger,56.90%,13.06
HeimerdingerHeimerdinger,46.75%,13.06
IllaoiIllaoi,48.28%,13.06
IreliaIrelia,49.74%,13.06
IreliaIrelia,51.98%,13.06
IvernIvern,54.84%,13.06
JannaJanna,48.65%,13.06
Jarvan IVJarvan IV,58.96%,13.06
JaxJax,51.76%,13.06
JayceJayce,52.15%,13.06
JayceJayce,54.01%,13.06
JhinJhin,48.08%,13.06
JinxJinx,49.89%,13.06
K'SanteK'Sante,44.65%,13.06
K'SanteK'Sante,42.31%,13.06
Kai'SaKai'Sa,51.64%,13.06
KalistaKalista,58.49%,13.06
KarmaKarma,53.36%,13.06
KarmaKarma,42.42%,13.06
KarthusKarthus,55.91%,13.06
KarthusKarthus,51.20%,13.06
KarthusKarthus,42.86%,13.06
KassadinKassadin,57.41%,13.06
KatarinaKatarina,46.98%,13.06
KayleKayle,56.76%,13.06
KayleKayle,50.00%,13.06
KaynKayn,47.72%,13.06
KennenKennen,71.88%,13.06
KennenKennen,52.56%,13.06
Kha'ZixKha'Zix,56.06%,13.06
KindredKindred,58.82%,13.06
KledKled,50.60%,13.06
Kog'MawKog'Maw,48.44%,13.06
LeBlancLeBlanc,50.75%,13.06
Lee SinLee Sin,49.19%,13.06
LeonaLeona,54.79%,13.06
LilliaLillia,56.10%,13.06
LissandraLissandra,55.56%,13.06
LucianLucian,59.21%,13.06
LuluLulu,52.39%,13.06
LuxLux,45.45%,13.06
LuxLux,48.76%,13.06
MalphiteMalphite,50.66%,13.06
MalzaharMalzahar,53.70%,13.06
MaokaiMaokai,75.00%,13.06
MaokaiMaokai,48.00%,13.06
Master YiMaster Yi,51.16%,13.06
MilioMilio,55.24%,13.06
Miss FortuneMiss Fortune,44.54%,13.06
MordekaiserMordekaiser,46.32%,13.06
MorganaMorgana,50.00%,13.06
NamiNami,52.49%,13.06
NasusNasus,47.62%,13.06
NasusNasus,34.78%,13.06
NautilusNautilus,51.29%,13.06
NeekoNeeko,57.14%,13.06
NidaleeNidalee,52.25%,13.06
NilahNilah,35.29%,13.06
NocturneNocturne,55.88%,13.06
NunuNunu,46.00%,13.06
OlafOlaf,61.66%,13.06
OlafOlaf,51.28%,13.06
OriannaOrianna,58.65%,13.06
OrnnOrnn,47.87%,13.06
PantheonPantheon,56.90%,13.06
PantheonPantheon,55.71%,13.06
PantheonPantheon,58.44%,13.06
PantheonPantheon,46.15%,13.06
PoppyPoppy,60.66%,13.06
PoppyPoppy,52.38%,13.06
PykePyke,44.13%,13.06
QiyanaQiyana,70.59%,13.06
QiyanaQiyana,44.44%,13.06
QuinnQuinn,52.63%,13.06
RakanRakan,55.86%,13.06
RammusRammus,55.32%,13.06
Rek'SaiRek'Sai,64.96%,13.06
RellRell,45.16%,13.06
Renata GlascRenata Glasc,59.38%,13.06
RenektonRenekton,48.05%,13.06
RenektonRenekton,35.71%,13.06
RengarRengar,60.38%,13.06
RengarRengar,54.35%,13.06
RivenRiven,54.64%,13.06
RumbleRumble,58.87%,13.06
RumbleRumble,56.92%,13.06
RumbleRumble,59.26%,13.06
RyzeRyze,52.56%,13.06
SamiraSamira,54.30%,13.06
SejuaniSejuani,51.72%,13.06
SennaSenna,55.81%,13.06
SeraphineSeraphine,65.38%,13.06
SeraphineSeraphine,56.14%,13.06
SeraphineSeraphine,45.78%,13.06
SettSett,50.00%,13.06
ShacoShaco,44.44%,13.06
ShenShen,46.92%,13.06
ShyvanaShyvana,40.00%,13.06
SingedSinged,64.79%,13.06
SionSion,49.62%,13.06
SionSion,47.37%,13.06
SivirSivir,50.85%,13.06
SkarnerSkarner,57.45%,13.06
SonaSona,48.44%,13.06
SorakaSoraka,52.24%,13.06
SwainSwain,43.33%,13.06
SylasSylas,54.01%,13.06
SylasSylas,55.70%,13.06
SylasSylas,50.91%,13.06
SyndraSyndra,52.81%,13.06
Tahm KenchTahm Kench,0.00%,13.06
TaliyahTaliyah,49.38%,13.06
TaliyahTaliyah,57.14%,13.06
TalonTalon,54.86%,13.06
TalonTalon,58.25%,13.06
TaricTaric,57.65%,13.06
TeemoTeemo,56.31%,13.06
ThreshThresh,51.82%,13.06
TristanaTristana,54.72%,13.06
TristanaTristana,48.03%,13.06
TrundleTrundle,0.00%,13.06
TryndamereTryndamere,47.76%,13.06
TryndamereTryndamere,40.00%,13.06
Twisted FateTwisted Fate,45.07%,13.06
TwitchTwitch,57.14%,13.06
TwitchTwitch,62.50%,13.06
UdyrUdyr,59.38%,13.06
UrgotUrgot,37.04%,13.06
VarusVarus,54.44%,13.06
VarusVarus,55.17%,13.06
VayneVayne,49.21%,13.06
VayneVayne,53.62%,13.06
VeigarVeigar,47.43%,13.06
VeigarVeigar,44.12%,13.06
Vel'KozVel'Koz,53.57%,13.06
Vel'KozVel'Koz,50.00%,13.06
VexVex,54.74%,13.06
ViVi,52.36%,13.06
ViegoViego,48.74%,13.06
ViktorViktor,53.00%,13.06
VladimirVladimir,53.38%,13.06
VladimirVladimir,47.62%,13.06
VolibearVolibear,44.68%,13.06
WarwickWarwick,53.66%,13.06
WarwickWarwick,44.90%,13.06
WukongWukong,50.27%,13.06
WukongWukong,63.64%,13.06
XayahXayah,52.38%,13.06
XerathXerath,53.57%,13.06
XerathXerath,39.53%,13.06
Xin ZhaoXin Zhao,59.22%,13.06
YasuoYasuo,49.35%,13.06
YasuoYasuo,53.42%,13.06
YasuoYasuo,46.00%,13.06
YoneYone,51.09%,13.06
YoneYone,49.73%,13.06
YorickYorick,46.15%,13.06
YuumiYuumi,49.83%,13.06
ZacZac,56.63%,13.06
ZedZed,42.45%,13.06
ZedZed,45.21%,13.06
ZeriZeri,53.17%,13.06
ZiggsZiggs,52.00%,13.06
ZiggsZiggs,39.29%,13.06
ZileanZilean,53.45%,13.06
ZoeZoe,57.89%,13.06
ZyraZyra,58.44%,13.06
AatroxAatrox,40.59%,13.05
AhriAhri,53.78%,13.05
AkaliAkali,49.00%,13.05
AkaliAkali,48.72%,13.05
AkshanAkshan,58.65%,13.05
AkshanAkshan,60.00%,13.05
AlistarAlistar,55.56%,13.05
AmumuAmumu,52.56%,13.05
AmumuAmumu,50.77%,13.05
AniviaAnivia,48.67%,13.05
AnnieAnnie,58.80%,13.05
AnnieAnnie,58.40%,13.05
ApheliosAphelios,49.72%,13.05
AsheAshe,50.00%,13.05
AsheAshe,50.32%,13.05
Aurelion SolAurelion Sol,48.64%,13.05
AzirAzir,45.77%,13.05
AzirAzir,36.67%,13.05
BardBard,53.95%,13.05
Bel'VethBel'Veth,55.73%,13.05
BlitzcrankBlitzcrank,54.19%,13.05
BrandBrand,50.00%,13.05
BraumBraum,49.53%,13.05
CaitlynCaitlyn,54.65%,13.05
CamilleCamille,54.87%,13.05
CassiopeiaCassiopeia,51.97%,13.05
CassiopeiaCassiopeia,47.73%,13.05
Cho'GathCho'Gath,52.72%,13.05
Cho'GathCho'Gath,53.33%,13.05
Cho'GathCho'Gath,46.05%,13.05
CorkiCorki,43.59%,13.05
DariusDarius,51.60%,13.05
DianaDiana,50.99%,13.05
DianaDiana,50.92%,13.05
Dr. MundoDr. Mundo,50.00%,13.05
DravenDraven,51.89%,13.05
EkkoEkko,50.00%,13.05
EkkoEkko,54.71%,13.05
EliseElise,53.95%,13.05
EvelynnEvelynn,46.89%,13.05
EzrealEzreal,50.54%,13.05
FiddlesticksFiddlesticks,50.39%,13.05
FioraFiora,53.93%,13.05
FizzFizz,52.87%,13.05
GalioGalio,57.14%,13.05
GangplankGangplank,46.36%,13.05
GangplankGangplank,60.61%,13.05
GarenGaren,52.25%,13.05
GnarGnar,45.56%,13.05
GragasGragas,52.83%,13.05
GragasGragas,48.52%,13.05
GragasGragas,51.56%,13.05
GravesGraves,48.00%,13.05
GwenGwen,52.02%,13.05
HecarimHecarim,55.29%,13.05
HeimerdingerHeimerdinger,50.82%,13.05
HeimerdingerHeimerdinger,52.00%,13.05
