Id,gameid,Team 1,League,Date,Team 2,Blue team losing,Blue team winning
2391,ESPORTSTMNT03_3133251,Sengoku Gaming,LJL,26/03/2023 12:08,Crest Gaming Act,13,1.04
2390,ESPORTSTMNT03_3132256,Crest Gaming Act,LJL,26/03/2023 11:09,Sengoku Gaming,1.04,13
2387,ESPORTSTMNT03_3133244,AXIZ,LJL,26/03/2023 09:59,DetonatioN FocusMe,1.06,11
2385,ESPORTSTMNT03_3132252,DetonatioN FocusMe,LJL,26/03/2023 09:03,AXIZ,11,1.06
2384,ESPORTSTMNT03_3133242,AXIZ,LJL,26/03/2023 08:06,DetonatioN FocusMe,1.06,11
2369,ESPORTSTMNT03_3133199,V3 Esports,LJL,25/03/2023 11:16,FENNEL,1.05,10
2367,ESPORTSTMNT03_3132206,FENNEL,LJL,25/03/2023 10:19,V3 Esports,10,1.05
2364,ESPORTSTMNT03_3132204,Fukuoka SoftBank HAWKS gaming,LJL,25/03/2023 08:58,Burning Core,3.14,1.4
2363,ESPORTSTMNT03_3133190,Fukuoka SoftBank HAWKS gaming,LJL,25/03/2023 08:07,Burning Core,3.14,1.4
2350,ESPORTSTMNT03_3134102,AXIZ,LJL,24/03/2023 12:49,Crest Gaming Act,2.04,1.83
2349,ESPORTSTMNT03_3133122,Crest Gaming Act,LJL,24/03/2023 11:52,AXIZ,1.83,2.04
2347,ESPORTSTMNT03_3133116,Crest Gaming Act,LJL,24/03/2023 10:45,AXIZ,1.83,2.04
2345,ESPORTSTMNT03_3132139,Burning Core,LJL,24/03/2023 09:22,V3 Esports,6.65,1.15
2343,ESPORTSTMNT03_3134090,Burning Core,LJL,24/03/2023 08:09,V3 Esports,6.65,1.15
2321,ESPORTSTMNT03_3131909,Sengoku Gaming,LJL,21/03/2023 12:23,Fukuoka SoftBank HAWKS gaming,3.52,1.4
2320,ESPORTSTMNT03_3131908,Fukuoka SoftBank HAWKS gaming,LJL,21/03/2023 11:24,Sengoku Gaming,1.4,3.52
2319,ESPORTSTMNT03_3129944,Sengoku Gaming,LJL,21/03/2023 10:30,Fukuoka SoftBank HAWKS gaming,3.52,1.4
2318,ESPORTSTMNT03_3130913,DetonatioN FocusMe,LJL,21/03/2023 09:04,FENNEL,4.86,1.21
2317,ESPORTSTMNT03_3131899,DetonatioN FocusMe,LJL,21/03/2023 08:09,FENNEL,4.86,1.21
2301,ESPORTSTMNT03_3131751,Sengoku Gaming,LJL,19/03/2023 11:04,V3 Esports,34,1.02
2300,ESPORTSTMNT03_3131721,V3 Esports,LJL,19/03/2023 10:14,Sengoku Gaming,1.02,34
2299,ESPORTSTMNT03_3130742,Burning Core,LJL,19/03/2023 08:57,DetonatioN FocusMe,1.11,7.74
2298,ESPORTSTMNT03_3130738,DetonatioN FocusMe,LJL,19/03/2023 08:08,Burning Core,7.74,1.11
2287,ESPORTSTMNT03_3129701,AXIZ,LJL,18/03/2023 11:20,Fukuoka SoftBank HAWKS gaming,1.1,6.65
2286,ESPORTSTMNT03_3131628,AXIZ,LJL,18/03/2023 10:25,Fukuoka SoftBank HAWKS gaming,1.1,6.65
2285,ESPORTSTMNT03_3131621,FENNEL,LJL,18/03/2023 09:02,Crest Gaming Act,4,1.29
2284,ESPORTSTMNT03_3131615,FENNEL,LJL,18/03/2023 08:08,Crest Gaming Act,4,1.29
2271,ESPORTSTMNT03_3130460,AXIZ,LJL,17/03/2023 12:21,V3 Esports,6.63,1.21
2270,ESPORTSTMNT03_3131449,V3 Esports,LJL,17/03/2023 11:28,AXIZ,1.21,6.63
